,gradient_assignment
0,4.974395467281192
1,
2,4.807368403507604
3,
4,1.9707685312795329
5,2.0884531665107477
6,
7,3.586845534901223
8,6.525448125810479
9,2.7959474675033404
10,1.5139283919059496
11,5.291629673729814
12,
13,
14,0.5353696239775324
15,2.9763153820919492
16,1.1001681600678332
17,2.6023846963886172
18,6.218695893487096
19,
20,5.192194702847706
21,1.4973544803839447
22,
23,0.6351725711160666
24,
25,3.5532016900547765
26,1.5088151693344116
27,2.469993892027667
28,
29,1.9238012186066549
30,3.0753950439462905
31,
32,
33,0.07171899080276489
34,
35,4.712566227333852
36,3.491546280983351
37,1.767466853497793
38,0.8891830038046464
39,0.29833632707595825
40,5.044140499207831
41,5.768064394662547
42,0.20768402516841888
43,3.515955965703642
44,
45,
46,1.964157040908117
47,2.3506869542380344
48,
49,6.2802660910288495
50,3.712606685335881
51,6.134489520687923
52,
53,1.4330760098473971
54,1.582640826702118
55,1.851980560051921
56,0.6444564839968314
57,1.3626290384680033
58,4.4053915851825
59,
60,0.26489781588315964
61,
62,1.4898474342980474
63,0.3639011085033417
64,1.8632919560600487
65,2.548101607359352
66,1.4481018258051739
67,3.2533158304652683
68,5.120179913046075
69,1.9656270754425542
70,1.594692089704468
71,
72,2.8846021474025254
73,1.8183991282206515
74,5.5435571379857524
75,3.9361133501539385
76,
77,
78,5.133783248432896
79,1.2774684359742836
80,2.9943389289560374
81,4.666344014609733
82,2.759067987583112
83,1.9283569717513664
84,2.64398759806698
85,
86,2.937987294226953
87,2.464652393303864
88,
89,
90,2.4530834344665657
91,1.9149374868026616
92,1.474316759178497
93,1.3448180234239948
94,0.025269335135817528
95,0.43354726177319114
96,1.7964959939320881
97,0.45733091895553196
98,6.131533928256667
99,2.348943848961166
100,1.434340028441511
101,2.138985628752332
102,4.824293822050095
103,0.581520337877529
104,
105,3.111927066743374
106,3.5283967973511725
107,0.830940621659944
108,5.338354432740288
109,6.240131288941144
110,0.7250639660791918
111,1.8445081979536064
112,2.944410702915612
113,5.00902156829834
114,4.603035555831317
115,2.915162283569001
116,
117,5.682382478552349
118,
119,1.4938347920694428
120,0.3091095983982086
121,3.357026136971888
122,1.3387699574232101
123,0.8047786131501198
124,
125,4.226914002456507
126,
127,3.0889097131531815
128,3.476980231962232
129,0.3587842653505504
130,2.3951411774754523
131,0.7877594948624305
132,
133,
134,2.1953918930764
135,
136,6.31896007688422
137,3.1278098833102446
138,1.4884796932080457
139,5.790330314103452
140,5.5756308802639145
141,6.236864213049982
142,5.513955739409066
143,2.2983212885040567
144,4.8210222979193755
145,4.006702104210854
146,6.068430679791594
147,3.1549313498790412
148,2.3832564845423003
149,
150,
151,1.6617261544470825
152,1.7747927872746838
153,4.804655974410301
154,1.425384027794713
155,0.568188967804114
156,2.7290810495615005
157,2.764324188232422
158,4.74099739368113
159,3.64555377430386
160,2.928842053830045
161,1.7263471394777299
162,1.0871243526538212
163,3.0155639450569622
164,1.2577957965965783
165,
166,1.0110245163933458
167,3.84662595443573
168,
169,0.728266380784079
170,2.3604684074191336
171,2.4586871905873218
172,
173,6.403919282585684
174,
175,1.7604873401366852
176,1.5168395709036522
177,4.729685538567567
178,2.5511848008674054
179,1.6191776730120182
180,3.251200569827448
181,
182,2.9777093788998275
183,
184,1.9759136835003601
185,0.9866602598474576
186,1.064315265888581
187,2.6447316832048124
188,4.3212197629121425
189,4.0702027254253155
190,3.0662908142912064
191,2.6520541639704454
192,
193,
194,4.0296577238999465
195,
196,0.7899131327867508
197,
198,2.7390214481236392
199,2.463859865197637
